Ranking,Característica,Information_Gain,Mutual_Information,KL_Divergence,Score_Combinado
1,Idle_Mean,0.05394162889413434,0.0327410720367598,0.2648381023380914,0.23679313605809513
2,Bwd_Packet_Length_Mean,0.03533612945141962,0.031201570665252643,0.17538618372534964,0.15947638400830216
3,Bwd_IAT_Total,0.03225055499461604,0.02453926332874068,0.14611431087163795,0.1338294200619619
4,Source_Bytes,0.01818366457026721,0.018019658011410256,0.1008666637858309,0.09067004998185411
5,Packet_Length_Variance,0.01764646937632064,0.005278866472069099,0.06676035574363683,0.06082286963809823
6,Idle_Std,0.01581871550224634,0.007442645193347808,0.07668564351030982,0.06805348871360203
7,Same_Service_Rate,0.015459820376441447,0.012314082481383659,0.07361700094874958,0.06701809992394993
8,Active_Mean,0.013948931606897697,0.009479907050558678,0.06526013693865779,0.05910148017161291
9,Flow_Packets_s,0.01353870522440126,0.00754689617339932,0.10226413410490545,0.08626108108123083
10,Fwd_Packet_Length_Mean,0.012874297707341276,0.015911748124188385,0.0710746258743513,0.06488469167942752
